p1	p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
AD2013	AD2013	1	2.0856e-5	47946.7102	0	0.0449	0.0206	1.0657	0.0291	1.0657	0.0291
AD2013	LBD2020	0.6052	0.2561	2.3637	0.0181	0.1631	0.079	1.0029	0.0078	0.0328	0.0103
AD2013	PD2011	-0.113	0.1175	-0.9611	0.3365	0.2231	0.0375	0.9644	0.0076	0.04	0.0051
LBD2020	AD2013	0.6052	0.2561	2.3637	0.0181	0.047	0.0222	1.063	0.0323	0.0328	0.0103
LBD2020	LBD2020	1	8.9832e-6	111318.1449	0	0.156	0.0807	1.0039	0.0082	1.0039	0.0082
LBD2020	PD2011	0.7301	0.2664	2.741	0.0061	0.2162	0.0353	0.9642	0.0072	-0.0138	0.0051
PD2011	AD2013	-0.113	0.1175	-0.9611	0.3365	0.0472	0.0217	1.0633	0.0287	0.04	0.0051
PD2011	LBD2020	0.7301	0.2664	2.741	0.0061	0.1534	0.0837	1.0047	0.0087	-0.0138	0.0051
PD2011	PD2011	1	1.7891e-5	55894.4842	0	0.2271	0.0388	0.9637	0.0077	0.9637	0.0077
